id,SwitchID,Date_n_Time,Status
1031,202A,"2020-08-10 18:20:51",Called
1032,202A,"2020-08-10 18:20:58",Attended
1033,202A,"2020-08-10 18:21:00",Called
1034,202A,"2020-08-10 18:21:01",Called
1035,202A,"2020-08-10 18:23:51",Called
1036,202B,"2020-08-10 18:24:00",Called
1037,201B,"2020-08-10 18:24:05",Called
1038,201A,"2020-08-10 18:24:27",Called
1039,207,"2020-08-10 18:24:34",Called
1040,201T,"2020-08-10 18:24:40",Called
1041,201T,"2020-08-10 18:27:32",Called
1042,201T,"2020-08-10 18:27:34",Attended
1043,201T,"2020-08-10 18:28:37",Called
1044,201T,"2020-08-10 18:28:51",Attended
1045,201T,"2020-08-10 18:30:43",Called
1046,201T,"2020-08-10 18:31:36",Attended
1047,201T,"2020-08-10 18:32:24",Called
1048,201T,"2020-08-10 18:36:35",Attended
1049,201T,"2020-08-10 18:36:42",Called
1050,201T,"2020-08-10 18:36:43",Called
1051,201T,"2020-08-10 18:36:49",Attended
1052,201T,"2020-08-10 18:36:54",Called
1053,201T,"2020-08-10 18:36:55",Called
1054,201T,"2020-08-10 18:50:27",Called
1055,201T,"2020-08-10 18:50:29",Attended
1056,201T,"2020-08-10 18:50:30",Called
1057,201T,"2020-08-10 18:50:32",Attended
1058,201T,"2020-08-10 18:50:34",Called
1059,201T,"2020-08-10 18:50:35",Attended
1060,201T,"2020-08-10 18:50:42",Called
1061,201T,"2020-08-10 18:53:10",Called
1062,201T,"2020-08-10 18:53:16",Attended
1063,201T,"2020-08-10 18:54:27",Attended
1064,201T,"2020-08-10 18:54:28",Attended
1065,201T,"2020-08-10 18:54:32",Called
1066,201T,"2020-08-10 18:54:38",Attended
1067,201T,"2020-08-10 18:54:45",Called
1068,201T,"2020-08-10 18:54:46",Called
1069,201T,"2020-08-10 18:54:53",Attended
1070,201A,"2020-08-10 18:55:01",Called
1071,201T,"2020-08-10 18:55:07",Called
1072,201T,"2020-08-10 18:55:51",Called
1073,201T,"2020-08-10 18:55:55",Attended
1074,201T,"2020-08-10 18:57:05",Called
1075,201A,"2020-08-10 18:57:10",Called
1076,201A,"2020-08-10 18:58:14",Attended
1077,201T,"2020-08-10 18:58:17",Attended
1078,201A,"2020-08-10 18:58:20",Called
1079,201T,"2020-08-10 18:58:25",Called
1080,201A,"2020-08-10 18:59:32",Attended
1081,201T,"2020-08-10 18:59:37",Attended
1082,201A,"2020-08-10 18:59:46",Attended
1083,201A,"2020-08-10 19:00:24",Called
1084,201T,"2020-08-10 19:00:39",Called
1085,201T,"2020-08-10 19:02:40",Attended
1086,201T,"2020-08-10 19:02:41",Called
1087,201T,"2020-08-10 19:02:42",Attended
1088,201T,"2020-08-10 19:03:01",Called
1089,201T,"2020-08-10 19:03:43",Attended
1090,201T,"2020-08-10 19:04:11",Called
1091,201T,"2020-08-10 19:04:13",Attended
1092,201T,"2020-08-10 19:04:23",Called
1093,201T,"2020-08-10 19:04:24",Attended
1094,201T,"2020-08-10 19:05:47",Called
1095,201T,"2020-08-10 19:05:48",Attended
1096,201T,"2020-08-10 19:05:49",Called
1097,201T,"2020-08-10 19:05:49",Attended
1098,201T,"2020-08-10 19:05:50",Called
1099,201T,"2020-08-10 19:05:50",Attended
1100,201T,"2020-08-10 19:05:51",Called
1101,201T,"2020-08-10 19:05:58",Attended
1102,201T,"2020-08-10 19:06:13",Called
1103,201T,"2020-08-10 19:06:16",Attended
1104,201T,"2020-08-10 19:06:32",Called
1105,201T,"2020-08-10 19:06:36",Attended
1106,201T,"2020-08-10 19:06:39",Called
1107,201T,"2020-08-10 19:06:40",Called
1108,201T,"2020-08-10 19:06:42",Attended
1109,201A,"2020-08-10 19:07:53",Called
1110,201T,"2020-08-10 19:08:03",Called
1111,201T,"2020-08-10 19:12:20",Attended
1112,201A,"2020-08-10 19:12:32",Called
1113,201T,"2020-08-10 19:12:40",Called
1114,201T,"2020-08-10 19:12:41",Called
1115,201T,"2020-08-10 19:14:39",Attended
1116,201T,"2020-08-10 19:15:02",Called
1117,201T,"2020-08-10 19:15:03",Called
1118,201T,"2020-08-10 19:15:46",Attended
1119,201T,"2020-08-10 19:16:24",Called
1120,201A,"2020-08-10 19:16:33",Called
1121,201T,"2020-08-10 19:18:28",Attended
1122,201T,"2020-08-10 19:18:34",Called
1123,201A,"2020-08-10 19:19:10",Called
1124,201T,"2020-08-10 19:21:59",Attended
1125,201A,"2020-08-10 19:24:47",Called
1126,201T,"2020-08-10 19:24:55",Called
1127,201T,"2020-08-10 19:25:55",Attended
1128,201T,"2020-08-10 19:25:57",Called
1129,201A,"2020-08-10 19:26:17",Called
1130,201T,"2020-08-10 19:26:59",Attended
1131,201T,"2020-08-10 19:27:10",Called
1132,201A,"2020-08-10 19:27:25",Called
1133,201T,"2020-08-10 19:28:01",Attended
1134,201T,"2020-08-10 19:28:02",Called
1135,201A,"2020-08-10 19:28:32",Called
1136,201A,"2020-08-10 19:29:31",Called
1137,201T,"2020-08-10 19:34:13",Attended
1138,201T,"2020-08-10 19:34:18",Called
1139,201T,"2020-08-10 19:34:39",Called
1140,201T,"2020-08-10 19:35:26",Called
1141,201T,"2020-08-10 19:39:44",Called
1142,201A,"2020-08-10 19:40:24",Called
1143,201T,"2020-08-10 19:43:08",Called
1144,201T,"2020-08-10 19:43:51",Attended
1145,201T,"2020-08-10 19:43:52",Attended
1146,201T,"2020-08-10 19:43:56",Called
1147,201T,"2020-08-10 19:46:17",Attended
1148,201T,"2020-08-10 19:46:24",Called
1149,201T,"2020-08-10 19:46:47",Attended
1150,201T,"2020-08-10 19:46:48",Attended
1151,201T,"2020-08-10 19:47:11",Called
1152,201T,"2020-08-10 19:47:13",Attended
1153,201T,"2020-08-10 19:49:09",Called
1154,201T,"2020-08-10 19:49:12",Attended
1155,201T,"2020-08-10 19:49:31",Called
1156,201T,"2020-08-10 19:49:32",Called
1157,201T,"2020-08-10 19:49:34",Attended
1158,201T,"2020-08-10 19:49:36",Called
1159,201T,"2020-08-10 19:49:37",Attended
1160,201A,"2020-08-10 19:50:04",Called
1161,201A,"2020-08-10 19:50:11",Called
1162,201T,"2020-08-10 20:02:12",Attended
1163,201T,"2020-08-10 20:02:15",Called
1164,201T,"2020-08-10 20:02:16",Called
1165,201T,"2020-08-10 20:02:19",Attended
1166,201T,"2020-08-10 20:03:07",Called
1167,201T,"2020-08-10 20:03:11",Attended
1168,201T,"2020-08-10 20:03:18",Called
1169,201T,"2020-08-10 20:05:37",Attended
1170,201T,"2020-08-10 20:07:01",Called
1171,201T,"2020-08-10 20:07:04",Attended
1172,201T,"2020-08-10 20:07:13",Called
1173,201T,"2020-08-10 20:07:28",Attended
1174,201T,"2020-08-10 20:07:30",Called
1175,201A,"2020-08-10 20:07:47",Called
1176,201T,"2020-08-10 20:08:08",Called
1177,201T,"2020-08-10 20:08:15",Called
1178,201A,"2020-08-10 20:08:43",Called
1179,201T,"2020-08-10 20:15:27",Attended
1180,201T,"2020-08-10 20:15:31",Called
1181,201T,"2020-08-10 20:15:32",Called
1182,201A,"2020-08-10 20:15:41",Called
1183,201T,"2020-08-10 20:16:04",Attended
1184,201A,"2020-08-10 20:16:10",Called
1185,201A,"2020-08-10 20:16:14",Called
1186,201A,"2020-08-10 20:16:17",Attended
1187,201A,"2020-08-10 20:16:22",Called
1188,201T,"2020-08-10 20:16:33",Called
1189,201T,"2020-08-10 20:17:33",Attended
1190,201T,"2020-08-10 20:17:36",Called
1191,201T,"2020-08-10 20:26:12",Attended
1192,201T,"2020-08-10 20:26:15",Called
1193,201A,"2020-08-10 20:26:24",Called
1194,201T,"2020-08-10 20:26:50",Attended
1195,201T,"2020-08-10 20:26:52",Attended
1196,201T,"2020-08-10 20:27:34",Called
1197,201T,"2020-08-10 20:27:35",Called
1198,201A,"2020-08-10 20:27:45",Called
1199,201T,"2020-08-10 20:28:07",Attended
1200,201A,"2020-08-10 20:28:22",Called
1201,201T,"2020-08-10 20:28:30",Called
1202,201T,"2020-08-10 20:31:05",Attended
1203,201T,"2020-08-10 20:31:08",Called
1204,201T,"2020-08-10 20:31:11",Called
1205,201T,"2020-08-10 20:31:21",Attended
1206,201T,"2020-08-10 20:32:03",Called
1207,201A,"2020-08-10 20:32:08",Called
1208,201T,"2020-08-10 20:32:28",Called
1209,201T,"2020-08-10 20:32:51",Called
1210,201T,"2020-08-10 20:36:29",Called
1211,201A,"2020-08-10 20:36:42",Called
1212,201A,"2020-08-10 20:41:40",Called
1213,201T,"2020-08-10 20:41:44",Called
1214,201A,"2020-08-10 20:42:02",Attended
1215,201T,"2020-08-10 20:42:10",Attended
1216,201A,"2020-08-10 20:42:18",Called
1217,201T,"2020-08-10 20:42:24",Called
1218,201A,"2020-08-10 20:42:59",Attended
1219,201A,"2020-08-10 20:45:42",Attended
1220,201A,"2020-08-10 20:45:43",Attended
1221,201A,"2020-08-10 20:45:46",Called
1222,201T,"2020-08-10 20:45:49",Called
1223,201A,"2020-08-10 20:46:46",Attended
1224,201T,"2020-08-10 20:47:01",Called
1225,201A,"2020-08-10 20:47:26",Called
1226,201T,"2020-08-10 20:47:52",Attended
1227,201A,"2020-08-10 20:50:14",Called
1228,201T,"2020-08-10 20:50:20",Called
1229,201A,"2020-08-10 20:50:43",Attended
1230,201A,"2020-08-10 20:51:48",Called
1231,201A,"2020-08-10 20:52:21",Called
1232,201T,"2020-08-10 20:52:23",Called
1233,201T,"2020-08-10 20:52:34",Attended
1234,201T,"2020-08-10 20:56:28",Attended
1235,201T,"2020-08-10 20:56:34",Called
1236,201T,"2020-08-10 20:56:34",Attended
1237,201T,"2020-08-10 20:56:39",Called
1238,201T,"2020-08-10 20:56:40",Attended
1239,201T,"2020-08-10 20:56:44",Called
1240,201T,"2020-08-10 20:56:51",Attended
1241,201T,"2020-08-10 20:56:53",Called
1242,201T,"2020-08-10 20:56:56",Attended
1243,201T,"2020-08-10 20:56:57",Called
1244,201T,"2020-08-10 20:56:58",Attended
1245,201T,"2020-08-10 20:56:59",Called
1246,201T,"2020-08-10 20:57:00",Attended
1247,201T,"2020-08-10 20:57:00",Called
1248,201A,"2020-08-11 11:27:54",Called
1249,201T,"2020-08-11 11:28:05",Called
1250,201A,"2020-08-11 11:28:26",Attended
1251,201T,"2020-08-11 11:28:44",Attended
1252,201A,"2020-08-11 11:28:52",Called
1253,201A,"2020-08-11 11:29:05",Attended
1254,201T,"2020-08-11 11:29:11",Called
1255,201A,"2020-08-11 11:29:25",Called
1256,201T,"2020-08-11 11:29:39",Attended
1257,201A,"2020-08-11 11:29:51",Attended
1258,201T,"2020-08-11 11:30:00",Called
1259,201T,"2020-08-11 11:30:01",Called
1260,201T,"2020-08-11 11:30:10",Attended
1261,201T,"2020-08-11 11:32:46",Called
1262,201T,"2020-08-11 11:32:52",Attended
1263,201A,"2020-08-11 14:46:01",Called
1264,201A,"2020-08-11 14:46:04",Called
1265,203,"2020-08-11 14:46:11",Called
1266,203,"2020-08-11 14:46:12",Called
1267,203,"2020-08-11 14:46:13",Called
1268,203,"2020-08-11 14:46:14",Called
1269,203,"2020-08-11 14:46:18",Attended
1270,203,"2020-08-11 14:46:20",Called
1271,203,"2020-08-11 14:46:22",Attended
1272,203,"2020-08-11 14:46:24",Called
1273,203,"2020-08-11 14:46:25",Attended
1274,203,"2020-08-11 14:46:27",Called
1275,203,"2020-08-11 14:46:29",Attended
1276,201B,"2020-08-11 14:46:36",Called
1277,202A,"2020-08-11 14:46:40",Called
1278,202B,"2020-08-11 14:46:44",Called
1279,203,"2020-08-11 14:46:49",Called
1280,204,"2020-08-11 14:46:54",Called
1281,205,"2020-08-11 14:47:00",Called
1282,206,"2020-08-11 14:47:06",Called
1283,207,"2020-08-11 14:47:13",Called
1284,201T,"2020-08-11 14:47:17",Called
1285,202T,"2020-08-11 14:47:21",Called
1286,203T,"2020-08-11 14:47:26",Called
1287,204T,"2020-08-11 14:47:34",Called
1288,205T,"2020-08-11 14:47:39",Called
1289,206T,"2020-08-11 14:47:43",Called
1290,207T,"2020-08-11 14:47:47",Called
1291,201A,"2020-08-11 14:47:52",Attended
1292,201B,"2020-08-11 14:47:57",Attended
1293,202A,"2020-08-11 14:48:00",Attended
1294,202A,"2020-08-11 14:48:04",Attended
1295,202B,"2020-08-11 14:48:09",Attended
1296,203,"2020-08-11 14:48:12",Attended
1297,204,"2020-08-11 14:48:15",Attended
1298,205,"2020-08-11 14:48:18",Attended
1299,206,"2020-08-11 14:48:23",Attended
1300,207,"2020-08-11 14:48:27",Attended
1301,201T,"2020-08-11 14:48:30",Attended
1302,202T,"2020-08-11 14:48:33",Attended
1303,203T,"2020-08-11 14:48:36",Attended
1304,204T,"2020-08-11 14:48:40",Attended
1305,205T,"2020-08-11 14:48:45",Attended
1306,206T,"2020-08-11 14:48:50",Attended
1307,207T,"2020-08-11 14:48:56",Attended
1308,207T,"2020-08-11 14:48:57",Attended
1309,207T,"2020-08-11 14:48:58",Attended
1310,206T,"2020-08-11 17:59:03",Called
1311,206T,"2020-08-11 18:20:59",Called
1312,206T,"2020-08-11 18:21:07",Attended
1313,206T,"2020-08-11 18:21:11",Called
1314,206T,"2020-08-11 18:21:24",Attended
1315,201T,"2020-08-12 13:00:48",Called
1316,201T,"2020-08-12 13:01:04",Attended
1317,201T,"2020-08-12 13:01:31",Called
1318,201T,"2020-08-12 13:19:14",Called
1319,201T,"2020-08-12 13:25:51",Called
1320,201T,"2020-08-12 13:25:52",Called
1321,201T,"2020-08-12 13:42:14",Called
1322,201T,"2020-08-12 13:42:55",Called
1323,201T,"2020-08-12 13:43:02",Attended
1324,201T,"2020-08-12 13:43:05",Called
1325,201T,"2020-08-12 13:43:11",Attended
1326,201T,"2020-08-12 13:43:13",Called
1327,201T,"2020-08-12 13:43:18",Attended
1328,201T,"2020-08-12 13:43:21",Called
1329,201T,"2020-08-12 13:43:22",Called
1330,201T,"2020-08-12 13:43:27",Attended
1331,201T,"2020-08-12 13:43:32",Called
1332,201T,"2020-08-12 13:43:36",Attended
1333,201T,"2020-08-12 13:43:51",Called
1334,201T,"2020-08-12 13:43:52",Called
1335,201T,"2020-08-12 13:44:04",Attended
1336,201T,"2020-08-12 13:44:59",Called
1337,201T,"2020-08-12 13:51:30",Attended
1338,201T,"2020-08-12 13:51:33",Called
1339,201T,"2020-08-12 13:51:34",Called
1340,201T,"2020-08-12 13:51:59",Attended
1341,201T,"2020-08-12 13:52:02",Called
1342,201T,"2020-08-12 13:52:34",Attended
1343,201T,"2020-08-12 13:52:36",Called
1344,201T,"2020-08-12 13:53:51",Attended
1345,201T,"2020-08-12 13:55:51",Called
1346,201T,"2020-08-12 13:55:52",Called
1347,201T,"2020-08-12 13:55:53",Attended
1348,201T,"2020-08-12 13:57:26",Called
1349,201T,"2020-08-12 14:33:41",Called
1350,201T,"2020-08-12 14:33:44",Attended
1351,201T,"2020-08-12 14:33:47",Attended
1352,201T,"2020-08-12 14:33:48",Attended
1353,201T,"2020-08-12 14:33:51",Attended
1354,201A,"2020-08-12 17:56:39",Called
1355,201A,"2020-08-12 17:56:45",Attended
